sp_id,scientific_name,common_name,worms_id,itis_id,scientific_name_worms,common_name_worms,scientific_name_itis,common_name_itis,scientific_name_old,common_name_old,worms_id_old,itis_id_old
1,Teleostei,Unidentified Teliost,293496,161105,Teleostei,NA,Teleostei,NA,Teleostei,Unidentified Teliost,293496,161105
3,Elopidae,Tenpounders,153689,161109,Elopidae,tenpounders,Elopidae,bigeyed herrings,Elopidae,Tenpounders,153689,161109
4,Elops affinis,Machete,275403,161112,Elops affinis,machete,Elops affinis,machete,Elops affinis,Machete,275403,161112
5,Albulidae,Bonefishes,151805,161119,Albulidae,bonefishes,Albulidae,bananafishes,Albulidae,Bonefishes,151805,161119
7,Albula,bonefishes,157878,161120,Albula,NA,Albula,bonefishes,Albula,bonefishes,157878,161120
9,Clupeiformes,anchovies,10297,161694,Clupeiformes,NA,Clupeiformes,anchovies,Clupeiformes,anchovies,10297,161694
12,Etrumeus sadina,Round herring,584793,161743,Etrumeus sadina,NA,Etrumeus teres,round herring,Etrumeus sadina,Round herring,584793,161743
15,Clupeidae,Herrings,125464,161700,Clupeidae,menhadens,Clupeidae,herrings,Clupeidae,Herrings,125464,161700
16,Opisthonema,thread herrings,158694,161747,Opisthonema,NA,Opisthonema,thread herrings,Opisthonema,thread herrings,158694,161747
19,Sardinops sagax,Pacific sardine (pilchard),217452,161729,Sardinops sagax,Pacific sardine,Sardinops sagax,Pacific sardine,Sardinops sagax,Pacific sardine (pilchard),217452,161729
20,Clupea pallasii,Pacific herring,151159,551209,Clupea pallasii,Pacific herring,Clupea pallasii,Pacific herring,Clupea pallasii,Pacific herring,151159,551209
21,Harengula thrissina,Flatiron herring,277552,161757,Harengula thrissina,flatiron herring,Harengula thrissina,flatiron herring,Harengula thrissina,Flatiron herring,277552,161757
22,Tetronarce californica,Pacific electric ray,845703,160833,Tetronarce californica,NA,Torpedo californica,Pacific electric ray,Tetronarce californica,Pacific electric ray,845703,160833
25,Engraulidae,Anchovies,125465,553173,Engraulidae,anchovies,Engraulidae,anchovies,Engraulidae,Anchovies,125465,553173
26,Anchoa,common anchovies,158697,161837,Anchoa,NA,Anchoa,common anchovies,Anchoa,common anchovies,158697,161837
27,Anchoa compressa,Deepbody anchovy,275512,161847,Anchoa compressa,deepbody anchovy,Anchoa compressa,deepbody anchovy,Anchoa compressa,Deepbody anchovy,275512,161847
28,Engraulis ringens,anchoveta,272287,551340,Engraulis ringens,anchoveta,Engraulis ringens,Peruvian anchoveta,Engraulis ringens,anchoveta,272287,551340
31,Engraulis mordax,Northern anchovy,272286,161828,Engraulis mordax,northern anchovy,Engraulis mordax,northern anchovy,Engraulis mordax,Northern anchovy,272286,161828
32,Cetengraulis,anchovetas,268692,161860,Cetengraulis,NA,Cetengraulis,anchovetas,Cetengraulis,anchovetas,268692,161860
33,Cetengraulis mysticetus,Anchoveta,280092,161862,Cetengraulis mysticetus,Pacific anchoveta,Cetengraulis mysticetus,anchoveta,Cetengraulis mysticetus,Anchoveta,280092,161862
34,Chanos chanos,Milkfish,217625,162838,Chanos chanos,milkfish,Chanos chanos,milkfish,Chanos chanos,Milkfish,217625,162838
35,Alepocephalidae,Slickheads,125507,162303,Alepocephalidae,slickheads,Alepocephalidae,slickheads,Alepocephalidae,Slickheads,125507,162303
36,Alepocephalus,NA,125868,162308,Alepocephalus,NA,Alepocephalus,NA,Alepocephalus,NA,125868,162308
37,Alepocephalus tenebrosus,California slickhead,272849,162316,Alepocephalus tenebrosus,California slickhead,Alepocephalus tenebrosus,NA,Alepocephalus tenebrosus,California slickhead,272849,162316
