taxonRank,rank_order
Kingdom,1
Subkingdom,2
Infrakingdom,3
Superdivision,4
Superphylum,5
Division,6
Phylum,7
Phylum (Division),8
Subdivision,9
Subphylum,10
Subphylum (Subdivision),11
Infradivision,12
Infraphylum,13
Parvphylum,14
Gigaclass,15
Megaclass,16
Superclass,17
Class,18
Subterclass,19
Subclass,20
Infraclass,21
Superorder,22
Order,23
Suborder,24
Infraorder,25
Parvorder,26
Section,27
Subsection,28
Superfamily,29
Epifamily,30
Family,31
Subfamily,32
Supertribe,33
Tribe,34
Subtribe,35
Genus,36
Subgenus,37
Series,38
Subseries,39
Species,40
Subspecies,41
Natio,42
Mutatio,43
Form,44
Forma,45
Subform,46
Subforma,47
Variety,48
Subvariety,49
Coll. sp.,50
Aggr.,51
