authority,taxonID,acceptedNameUsageID,scientificName,taxonRank,parentNameUsageID,taxonomicStatus,nomenclaturalStatus,scientificNameAuthorship,namePublishedInYear
worms,293496,293496,Teleostei,Class,843664,accepted,https://rs.gbif.org/vocabulary/gbif/nomenclatural_status/valid,NA,NA
worms,843664,843664,Actinopteri,Superclass,10194,accepted,https://rs.gbif.org/vocabulary/gbif/nomenclatural_status/valid,NA,NA
worms,10194,10194,Actinopterygii,Gigaclass,152352,accepted,https://rs.gbif.org/vocabulary/gbif/nomenclatural_status/valid,NA,NA
worms,152352,152352,Osteichthyes,Parvphylum,1828,accepted,https://rs.gbif.org/vocabulary/gbif/nomenclatural_status/valid,NA,NA
worms,1828,1828,Gnathostomata,Infraphylum,146419,accepted,https://rs.gbif.org/vocabulary/gbif/nomenclatural_status/valid,"von Zittel, 1879",NA
worms,146419,146419,Vertebrata,Subphylum,1821,accepted,https://rs.gbif.org/vocabulary/gbif/nomenclatural_status/valid,NA,NA
worms,1821,1821,Chordata,Phylum,2,accepted,https://rs.gbif.org/vocabulary/gbif/nomenclatural_status/valid,"Haeckel, 1874",NA
worms,2,2,Animalia,Kingdom,1,accepted,https://rs.gbif.org/vocabulary/gbif/nomenclatural_status/valid,NA,NA
worms,1,1,Biota,NA,NA,accepted,https://rs.gbif.org/vocabulary/gbif/nomenclatural_status/valid,NA,NA
worms,153689,153689,Elopidae,Family,10292,accepted,https://rs.gbif.org/vocabulary/gbif/nomenclatural_status/valid,"Valenciennes, 1847",NA
worms,10292,10292,Elopiformes,Order,293496,accepted,https://rs.gbif.org/vocabulary/gbif/nomenclatural_status/valid,NA,NA
worms,275403,275403,Elops affinis,Species,157873,accepted,https://rs.gbif.org/vocabulary/gbif/nomenclatural_status/valid,"Regan, 1909",1909
worms,157873,157873,Elops,Genus,153689,accepted,https://rs.gbif.org/vocabulary/gbif/nomenclatural_status/valid,"Linnaeus, 1766",1767
worms,151805,151805,Albulidae,Family,151804,accepted,https://rs.gbif.org/vocabulary/gbif/nomenclatural_status/valid,"Bleeker, 1849",NA
worms,151804,151804,Albuliformes,Order,293496,accepted,https://rs.gbif.org/vocabulary/gbif/nomenclatural_status/valid,NA,NA
worms,157878,157878,Albula,Genus,151806,accepted,https://rs.gbif.org/vocabulary/gbif/nomenclatural_status/valid,"Scopoli, 1777",NA
